レコード種別,カラム名,位置,長さ
CH,本年前年累計成績情報_1_札幌平地着回数_4,838,6
CH,本年前年累計成績情報_1_札幌平地着回数_5,844,6
CH,本年前年累計成績情報_1_札幌平地着回数_6,850,6
CH,本年前年累計成績情報_1_札幌障害着回数_1,856,6
CH,本年前年累計成績情報_1_札幌障害着回数_2,862,6
CH,本年前年累計成績情報_1_札幌障害着回数_3,868,6
CH,本年前年累計成績情報_1_札幌障害着回数_4,874,6
CH,本年前年累計成績情報_1_札幌障害着回数_5,880,6
CH,本年前年累計成績情報_1_札幌障害着回数_6,886,6
CH,本年前年累計成績情報_1_函館平地着回数_1,892,6
CH,本年前年累計成績情報_1_函館平地着回数_2,898,6
CH,本年前年累計成績情報_1_函館平地着回数_3,904,6
CH,本年前年累計成績情報_1_函館平地着回数_4,910,6
CH,本年前年累計成績情報_1_函館平地着回数_5,916,6
CH,本年前年累計成績情報_1_函館平地着回数_6,922,6
CH,本年前年累計成績情報_1_函館障害着回数_1,928,6
CH,本年前年累計成績情報_1_函館障害着回数_2,934,6
CH,本年前年累計成績情報_1_函館障害着回数_3,940,6
CH,本年前年累計成績情報_1_函館障害着回数_4,946,6
CH,本年前年累計成績情報_1_函館障害着回数_5,952,6
CH,本年前年累計成績情報_1_函館障害着回数_6,958,6
CH,本年前年累計成績情報_1_福島平地着回数_1,964,6
CH,本年前年累計成績情報_1_福島平地着回数_2,970,6
CH,本年前年累計成績情報_1_福島平地着回数_3,976,6
CH,本年前年累計成績情報_1_福島平地着回数_4,982,6
CH,本年前年累計成績情報_1_福島平地着回数_5,988,6
CH,本年前年累計成績情報_1_福島平地着回数_6,994,6
CH,本年前年累計成績情報_1_福島障害着回数_1,1000,6
CH,本年前年累計成績情報_1_福島障害着回数_2,1006,6
CH,本年前年累計成績情報_1_福島障害着回数_3,1012,6
CH,本年前年累計成績情報_1_福島障害着回数_4,1018,6
CH,本年前年累計成績情報_1_福島障害着回数_5,1024,6
CH,本年前年累計成績情報_1_福島障害着回数_6,1030,6
CH,本年前年累計成績情報_1_新潟平地着回数_1,1036,6
CH,本年前年累計成績情報_1_新潟平地着回数_2,1042,6
CH,本年前年累計成績情報_1_新潟平地着回数_3,1048,6
CH,本年前年累計成績情報_1_新潟平地着回数_4,1054,6
CH,本年前年累計成績情報_1_新潟平地着回数_5,1060,6
CH,本年前年累計成績情報_1_新潟平地着回数_6,1066,6
CH,本年前年累計成績情報_1_新潟障害着回数_1,1072,6
CH,本年前年累計成績情報_1_新潟障害着回数_2,1078,6
CH,本年前年累計成績情報_1_新潟障害着回数_3,1084,6
CH,本年前年累計成績情報_1_新潟障害着回数_4,1090,6
CH,本年前年累計成績情報_1_新潟障害着回数_5,1096,6
CH,本年前年累計成績情報_1_新潟障害着回数_6,1102,6
CH,本年前年累計成績情報_1_東京平地着回数_1,1108,6
CH,本年前年累計成績情報_1_東京平地着回数_2,1114,6
CH,本年前年累計成績情報_1_東京平地着回数_3,1120,6
CH,本年前年累計成績情報_1_東京平地着回数_4,1126,6
CH,本年前年累計成績情報_1_東京平地着回数_5,1132,6
CH,本年前年累計成績情報_1_東京平地着回数_6,1138,6
CH,本年前年累計成績情報_1_東京障害着回数_1,1144,6
CH,本年前年累計成績情報_1_東京障害着回数_2,1150,6
CH,本年前年累計成績情報_1_東京障害着回数_3,1156,6
CH,本年前年累計成績情報_1_東京障害着回数_4,1162,6
CH,本年前年累計成績情報_1_東京障害着回数_5,1168,6
CH,本年前年累計成績情報_1_東京障害着回数_6,1174,6
CH,本年前年累計成績情報_1_中山平地着回数_1,1180,6
CH,本年前年累計成績情報_1_中山平地着回数_2,1186,6
CH,本年前年累計成績情報_1_中山平地着回数_3,1192,6
CH,本年前年累計成績情報_1_中山平地着回数_4,1198,6
CH,本年前年累計成績情報_1_中山平地着回数_5,1204,6
CH,本年前年累計成績情報_1_中山平地着回数_6,1210,6
CH,本年前年累計成績情報_1_中山障害着回数_1,1216,6
CH,本年前年累計成績情報_1_中山障害着回数_2,1222,6
CH,本年前年累計成績情報_1_中山障害着回数_3,1228,6
CH,本年前年累計成績情報_1_中山障害着回数_4,1234,6
CH,本年前年累計成績情報_1_中山障害着回数_5,1240,6
CH,本年前年累計成績情報_1_中山障害着回数_6,1246,6
CH,本年前年累計成績情報_1_中京平地着回数_1,1252,6
CH,本年前年累計成績情報_1_中京平地着回数_2,1258,6
CH,本年前年累計成績情報_1_中京平地着回数_3,1264,6
CH,本年前年累計成績情報_1_中京平地着回数_4,1270,6
CH,本年前年累計成績情報_1_中京平地着回数_5,1276,6
CH,本年前年累計成績情報_1_中京平地着回数_6,1282,6
CH,本年前年累計成績情報_1_中京障害着回数_1,1288,6
CH,本年前年累計成績情報_1_中京障害着回数_2,1294,6
CH,本年前年累計成績情報_1_中京障害着回数_3,1300,6
CH,本年前年累計成績情報_1_中京障害着回数_4,1306,6
CH,本年前年累計成績情報_1_中京障害着回数_5,1312,6
CH,本年前年累計成績情報_1_中京障害着回数_6,1318,6
CH,本年前年累計成績情報_1_京都平地着回数_1,1324,6
CH,本年前年累計成績情報_1_京都平地着回数_2,1330,6
CH,本年前年累計成績情報_1_京都平地着回数_3,1336,6
CH,本年前年累計成績情報_1_京都平地着回数_4,1342,6
CH,本年前年累計成績情報_1_京都平地着回数_5,1348,6
CH,本年前年累計成績情報_1_京都平地着回数_6,1354,6
